label,row,col,mean_defect_probability
Center,0,0,0.0
Center,0,1,0.0
Center,0,2,0.0
Center,0,3,0.0
Center,0,4,0.0
Center,0,5,0.0
Center,0,6,0.0
Center,0,7,0.0
Center,0,8,0.0
Center,0,9,0.0
Center,0,10,0.0
Center,0,11,0.0
Center,0,12,0.0
Center,0,13,0.0
Center,0,14,0.0
Center,0,15,0.0
Center,0,16,0.0
Center,0,17,0.0
Center,0,18,0.0
Center,0,19,0.0
Center,0,20,0.0
Center,0,21,0.002328830926874709
Center,0,22,0.0025617140195621797
Center,0,23,0.0037261294829995344
Center,0,24,0.08546809501630181
Center,0,25,0.12598975314392175
Center,0,26,0.41406613879832327
Center,0,27,0.41569632044713556
Center,0,28,0.34326967862133206
Center,0,29,0.3823940381928272
Center,0,30,0.4264089427107592
Center,0,31,0.47065673032137867
Center,0,32,0.45971122496506756
Center,0,33,0.42873777363763393
Center,0,34,0.38588728458313926
Center,0,35,0.34513274336283184
Center,0,36,0.37494177922682814
Center,0,37,0.379832324173265
Center,0,38,0.5230554261760596
Center,0,39,0.48579413134606425
Center,0,40,0.007918025151374011
Center,0,41,0.009082440614811364
Center,0,42,0.0039590125756870055
Center,0,43,0.0
Center,0,44,0.0
Center,0,45,0.0
Center,0,46,0.0
Center,0,47,0.0
Center,0,48,0.0
Center,0,49,0.0
Center,0,50,0.0
Center,0,51,0.0
Center,0,52,0.0
Center,0,53,0.0
Center,0,54,0.0
Center,0,55,0.0
Center,0,56,0.0
Center,0,57,0.0
Center,0,58,0.0
Center,0,59,0.0
Center,0,60,0.0
Center,0,61,0.0
Center,0,62,0.0
Center,0,63,0.0
Center,1,0,0.0
Center,1,1,0.0
Center,1,2,0.0
Center,1,3,0.0
Center,1,4,0.0
Center,1,5,0.0
Center,1,6,0.0
Center,1,7,0.0
Center,1,8,0.0
Center,1,9,0.0
Center,1,10,0.0
Center,1,11,0.0
Center,1,12,0.0
Center,1,13,0.0
Center,1,14,0.0
Center,1,15,0.0
Center,1,16,0.0
Center,1,17,0.0
Center,1,18,0.0
Center,1,19,0.0
Center,1,20,0.004191895668374476
Center,1,21,0.01071262226362366
Center,1,22,0.02072659524918491
Center,1,23,0.012575687005123428
Center,1,24,0.0903586399627387
Center,1,25,0.1255239869585468
Center,1,26,0.4110386585933861
Center,1,27,0.41406613879832327
Center,1,28,0.3341872380065207
Center,1,29,0.37470889613414066
Center,1,30,0.4215183977643223
Center,1,31,0.46064275733581744
Center,1,32,0.4471355379599441
Center,1,33,0.41965533302282254
Center,1,34,0.38029809035864
Center,1,35,0.3367489520260829
Center,1,36,0.371914299021891
Center,1,37,0.3735444806707033
Center,1,38,0.528178854215184
Center,1,39,0.49371215649743827
Center,1,40,0.016534699580810434
Center,1,41,0.025384257102934328
Center,1,42,0.010246856078248719
Center,1,43,0.004890544946436889
Center,1,44,0.0
Center,1,45,0.0
Center,1,46,0.0
Center,1,47,0.0
Center,1,48,0.0
Center,1,49,0.0
Center,1,50,0.0
Center,1,51,0.0
Center,1,52,0.0
Center,1,53,0.0
Center,1,54,0.0
Center,1,55,0.0
Center,1,56,0.0
Center,1,57,0.0
Center,1,58,0.0
Center,1,59,0.0
Center,1,60,0.0
Center,1,61,0.0
Center,1,62,0.0
Center,1,63,0.0
Center,2,0,0.0
Center,2,1,0.0
Center,2,2,0.0
Center,2,3,0.0
Center,2,4,0.0
Center,2,5,0.0
Center,2,6,0.0
Center,2,7,0.0
Center,2,8,0.0
Center,2,9,0.0
Center,2,10,0.0
Center,2,11,0.0
Center,2,12,0.0
Center,2,13,0.0
Center,2,14,0.0
Center,2,15,0.0
Center,2,16,0.0
Center,2,17,0.015836050302748022
Center,2,18,0.020027945971122497
Center,2,19,0.06380996739636702
Center,2,20,0.0752212389380531
Center,2,21,0.0952491849091756
Center,2,22,0.11970190964136004
Center,2,23,0.0847694457382394
Center,2,24,0.08220773171867722
Center,2,25,0.07941313460642757
Center,2,26,0.38029809035864
Center,2,27,0.37494177922682814
Center,2,28,0.2938984629715883
Center,2,29,0.2943642291569632
Center,2,30,0.29948765719608755
Center,2,31,0.3495575221238938
Center,2,32,0.3367489520260829
Center,2,33,0.29063809967396365
Center,2,34,0.29832324173265024
Center,2,35,0.3053097345132743
Center,2,36,0.3504890544946437
Center,2,37,0.3490917559385189
Center,2,38,0.4869585468095016
Center,2,39,0.48416394969725196
Center,2,40,0.10340009315323707
Center,2,41,0.13344201210992082
Center,2,42,0.11248253376804844
Center,2,43,0.08570097810898929
Center,2,44,0.07638565440149045
Center,2,45,0.020027945971122497
Center,2,46,0.01350721937587331
Center,2,47,0.0006986492780624127
Center,2,48,0.0
Center,2,49,0.0
Center,2,50,0.0
Center,2,51,0.0
Center,2,52,0.0
Center,2,53,0.0
Center,2,54,0.0
Center,2,55,0.0
Center,2,56,0.0
Center,2,57,0.0
Center,2,58,0.0
Center,2,59,0.0
Center,2,60,0.0
Center,2,61,0.0
Center,2,62,0.0
Center,2,63,0.0
Center,3,0,0.0
Center,3,1,0.0
Center,3,2,0.0
Center,3,3,0.0
Center,3,4,0.0
Center,3,5,0.0
Center,3,6,0.0
Center,3,7,0.0
Center,3,8,0.0
Center,3,9,0.0
Center,3,10,0.0
Center,3,11,0.0
Center,3,12,0.0
Center,3,13,0.0
Center,3,14,0.0
Center,3,15,0.0004657661853749418
Center,3,16,0.0030274802049371215
Center,3,17,0.056124825337680484
Center,3,18,0.07987890079180252
Center,3,19,0.3260363297624592
Center,3,20,0.3281322775966465
Center,3,21,0.25570563577084304
Center,3,22,0.24359571495109456
Center,3,23,0.22589659990684677
Center,3,24,0.21262226362366093
Center,3,25,0.2063344201210992
Center,3,26,0.17862133209129016
Center,3,27,0.18141592920353983
Center,3,28,0.19655333022822544
Center,3,29,0.1960875640428505
Center,3,30,0.19981369352585002
Center,3,31,0.2168141592920354
Center,3,32,0.2009781089892874
Center,3,33,0.16907312529110385
Center,3,34,0.17652538425710293
Center,3,35,0.18141592920353983
Center,3,36,0.18118304611085234
Center,3,37,0.17815556590591522
Center,3,38,0.19818351187703773
Center,3,39,0.19795062878435027
Center,3,40,0.21867722403353518
Center,3,41,0.2424312994876572
Center,3,42,0.24592454587796925
Center,3,43,0.2710759198882161
Center,3,44,0.27666511411271544
Center,3,45,0.4312994876571961
Center,3,46,0.4142990218910107
Center,3,47,0.00535631113181183
Center,3,48,0.0006986492780624127
Center,3,49,0.0
Center,3,50,0.0
Center,3,51,0.0
Center,3,52,0.0
Center,3,53,0.0
Center,3,54,0.0
Center,3,55,0.0
Center,3,56,0.0
Center,3,57,0.0
Center,3,58,0.0
Center,3,59,0.0
Center,3,60,0.0
Center,3,61,0.0
Center,3,62,0.0
Center,3,63,0.0
Center,4,0,0.0
Center,4,1,0.0
Center,4,2,0.0
Center,4,3,0.0
Center,4,4,0.0
Center,4,5,0.0
Center,4,6,0.0
Center,4,7,0.0
Center,4,8,0.0
Center,4,9,0.0
Center,4,10,0.0
Center,4,11,0.0
Center,4,12,0.0
Center,4,13,0.0
Center,4,14,0.0002328830926874709
Center,4,15,0.04657661853749418
Center,4,16,0.06357708430367956
Center,4,17,0.11481136469492315
Center,4,18,0.1215649743828598
Center,4,19,0.3064741499767117
Center,4,20,0.29855612482533767
Center,4,21,0.22496506753609688
Center,4,22,0.21867722403353518
Center,4,23,0.2177456916627853
Center,4,24,0.1960875640428505
Center,4,25,0.20027945971122496
Center,4,26,0.17745691662785282
Center,4,27,0.16930600838379134
Center,4,28,0.18048439683278994
Center,4,29,0.18164881229622729
Center,4,30,0.18258034466697717
Center,4,31,0.18723800652072659
Center,4,32,0.17815556590591522
Center,4,33,0.15905915230554263
Center,4,34,0.16464834653004193
Center,4,35,0.16348393106660455
