umap_x,umap_y,label_str
7.0753045,10.747619,Center
-5.067357,-2.1166866,Edge-Ring
15.322303,0.060084697,Scratch
12.604686,-0.71691895,Scratch
4.579703,0.33608928,Random
16.096083,5.139282,Edge-Ring
-5.0093727,-2.1084256,Edge-Ring
14.0936775,-1.5478545,none
7.1327486,10.693822,Center
14.844175,-1.2425679,none
6.950714,1.02489,Random
9.619752,-5.3255134,Random
14.872431,-1.2854896,none
14.904371,-4.9369407,none
13.532424,-0.5713895,Center
20.377756,-5.909139,Donut
7.357922,10.684709,Center
1.8985878,6.051157,none
6.8561516,11.208683,Center
13.785776,-0.0972815,Edge-Loc
20.097977,5.287666,Scratch
20.388985,-5.818973,Donut
19.107592,-5.2704167,Edge-Loc
12.783385,1.6225667,Edge-Loc
14.9497595,1.383887,Edge-Loc
12.1591015,2.2181072,Edge-Loc
19.353456,-6.0429096,Donut
6.8122945,0.15695022,Near-full
12.7723675,1.6925656,Loc
1.8763117,6.09557,Edge-Loc
12.349676,-1.2281275,Scratch
13.616039,9.03762,Random
0.08470049,19.041035,Edge-Ring
12.90906,1.6999007,Random
20.117311,5.262616,Loc
4.533362,0.32321012,Random
11.947321,-2.4021854,Scratch
0.010428034,18.99891,Edge-Ring
12.593157,-0.5310763,Edge-Loc
20.339188,-6.1225104,Donut
12.099685,2.454563,Center
12.802044,-1.7894964,Loc
0.08229392,19.02229,Edge-Ring
13.286023,1.6477637,Edge-Loc
11.977953,-2.3946397,Scratch
20.358917,-5.917498,Donut
12.84142,0.5792374,Center
7.3233957,-0.56049985,Random
14.973339,3.9978864,Edge-Loc
12.916063,-0.12737638,Scratch
12.993364,3.2816796,Edge-Loc
7.1487775,11.008886,Center
13.697914,-0.021654038,Donut
12.980551,0.8114663,Edge-Loc
16.103415,5.1335006,Edge-Ring
13.673774,9.117929,Random
7.5114098,10.547325,Center
12.282073,-0.13036557,Donut
13.667648,-0.43642032,Center
17.054825,16.407753,Edge-Ring
13.53259,-0.88813025,none
12.784591,-2.304025,Loc
19.836504,-5.7075043,Donut
7.3311825,0.5946138,Near-full
13.334225,-1.3573875,none
12.108388,2.2683704,Loc
13.867637,-0.7605835,none
6.2860107,0.85236216,Random
14.904368,-4.948679,none
13.452836,-0.80346656,Scratch
0.09808697,19.005438,Edge-Ring
7.2914286,0.5658699,Near-full
16.2587,5.2992034,Edge-Ring
15.337175,0.1350193,Loc
13.3296,-1.0568148,Donut
16.09639,5.152604,Edge-Ring
7.077388,0.8867497,Random
16.096027,5.1370974,Edge-Ring
15.087177,4.104001,Random
11.50446,-1.7583047,Random
0.18686,18.882803,Edge-Ring
6.868734,0.49000743,Edge-Loc
11.27532,-0.92419374,Donut
12.393628,-0.307871,Loc
13.064842,2.228574,Edge-Loc
-5.028361,-2.0968118,Edge-Ring
-5.013346,-2.1212065,Edge-Ring
12.745328,1.4472295,Center
7.4157677,10.634453,Center
20.449741,-5.946251,Donut
19.751875,-5.855796,Donut
7.1680284,10.721102,Center
13.858813,1.9650466,Edge-Loc
6.8162084,0.17801075,Near-full
7.443639,10.565142,Center
12.6549,-1.7639866,Loc
14.137647,-1.2526559,Edge-Loc
14.793058,-2.3394015,Center
8.723105,0.8972865,Random
12.746063,1.2958617,Scratch
14.567726,-1.7835207,none
13.919125,0.029886816,Donut
-5.0420923,-2.0978646,Edge-Ring
13.214687,-2.1337388,none
-5.034375,-2.095302,Edge-Ring
15.235257,0.08735505,Loc
15.497341,0.07078289,Center
19.521832,-5.9014573,Donut
11.940323,-2.3836305,Scratch
14.192319,9.201839,Edge-Ring
13.813516,1.0294151,Edge-Ring
12.580131,1.6088545,Center
13.398656,-0.7583254,none
14.058841,9.212994,Edge-Ring
13.722428,1.6300843,Edge-Loc
9.842878,2.443479,Random
12.133307,2.2737627,Loc
12.766487,1.5132462,none
7.0124373,10.507349,Center
10.440444,-0.17334093,Center
10.279322,1.1006249,none
12.200519,2.2510655,none
10.569388,-0.91399306,Donut
7.1774974,10.4886875,Center
12.209786,-0.16312864,Loc
13.581532,-1.2482829,none
19.108376,-5.900471,Center
0.031261254,19.064869,Edge-Ring
12.532664,-2.3505037,Loc
19.091286,-5.4741015,Donut
10.647255,-0.8999443,Donut
12.634163,1.6847124,none
20.077988,5.384864,Donut
9.789847,2.315659,Random
12.8097315,0.24959326,Center
13.558264,0.5659094,Edge-Ring
7.0442367,10.689661,Center
6.8821816,11.20943,Center
14.788685,-1.4181777,none
13.839168,1.0262,Edge-Loc
19.2318,-5.51365,Donut
-0.018534025,19.115637,Edge-Ring
0.0015487948,19.001955,Edge-Ring
19.916058,-5.549499,Donut
13.886246,0.008142365,none
1.9333422,6.0012317,none
12.132395,2.223654,Center
12.71334,-2.2935874,Edge-Loc
-8.290345,6.3031883,Edge-Ring
13.213252,1.5080057,Random
13.834012,-0.27784058,none
0.061158005,19.057964,Edge-Ring
14.103343,9.3396015,Random
15.296271,0.11442661,Scratch
19.832699,-5.6247764,Donut
-5.080605,-2.130437,Edge-Ring
13.86664,-0.70886976,Edge-Loc
19.878756,-6.087516,Donut
7.334545,10.899994,Center
14.351682,-0.55785567,Edge-Loc
13.778855,0.5818529,none
19.381207,-6.0289187,Donut
7.3428454,10.419337,Center
13.861835,-0.89888096,Random
13.731495,-1.0095016,Scratch
10.748066,1.9925458,Edge-Loc
13.39381,-0.32487315,Loc
13.375315,1.2825017,Random
12.0236025,2.4771464,Edge-Loc
15.361662,0.08304281,Loc
1.8119239,5.965442,Edge-Loc
14.971388,-1.2820082,none
13.719053,9.022814,Random
13.588064,-1.1703882,Loc
13.43533,-1.2808076,none
14.881458,-1.1707834,Scratch
12.153121,-0.36304936,Donut
9.619073,-5.3261323,Random
13.013182,3.298394,Edge-Ring
13.40582,-0.8624533,Edge-Loc
14.028625,9.181893,Random
19.117512,-5.4477096,Donut
12.951669,-0.1950899,Scratch
13.408597,1.2496006,none
14.898285,-2.3840194,Center
13.399632,-3.1537201,Edge-Ring
11.999669,-2.3689947,Scratch
13.853912,-0.6297241,Edge-Loc
7.444054,10.537453,Center
7.3250537,10.58734,Center
18.89949,-5.1691384,Edge-Loc
13.046235,1.8224212,Loc
14.349424,9.8698015,Edge-Ring
13.052128,2.2316005,Scratch
11.982179,1.3505713,Loc
-5.01798,-2.10813,Edge-Ring
13.130183,1.5591812,Edge-Loc
20.159554,5.3310485,Center
9.94704,2.4823844,Random
10.498508,-0.07502047,Center
7.7080407,0.6254056,Near-full
12.625328,1.3562928,Scratch
7.5408807,-0.78252715,Random
19.452269,-6.040043,Donut
19.863802,5.2832947,Edge-Loc
1.9095545,6.0614047,none
1.8297043,5.953335,Scratch
15.235792,0.43977922,Edge-Loc
-5.085587,-2.128084,Edge-Ring
14.167952,-1.7503998,Edge-Loc
0.7360603,11.347233,none
11.841954,-0.4110734,Donut
14.77831,-2.2626796,Loc
12.80411,-0.612415,Scratch
10.480114,-0.05987108,Center
20.41139,-5.8747826,Donut
14.786057,-2.3067963,Scratch
13.512419,0.11946509,Edge-Ring
12.645626,-2.253896,Random
12.057725,-0.07302252,Donut
13.918529,0.8424098,none
-5.0368915,-2.0646904,Edge-Ring
14.892477,-4.9244933,none
